#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KRT10	KRT1	1846102	1844112	9606.ENSP00000269576	9606.ENSP00000252244	0	0	0	0	0.495	0.953	0	0.861	0.996
GCG	GIP	1859292	1853529	9606.ENSP00000387662	9606.ENSP00000350005	0	0	0	0	0	0	0.900	0.938	0.993
RBP4	TTR	1855488	1843448	9606.ENSP00000360519	9606.ENSP00000237014	0	0	0	0	0.119	0.688	0.900	0.778	0.993
CLCNKB	BSND	1856357	1855449	9606.ENSP00000364831	9606.ENSP00000360312	0	0	0	0	0.134	0	0.900	0.919	0.992
PIWIL2	TDRD1	1853409	1844087	9606.ENSP00000349208	9606.ENSP00000251864	0	0	0	0	0.142	0.604	0.900	0.808	0.992
SST	SSTR1	1847077	1845937	9606.ENSP00000287641	9606.ENSP00000267377	0	0	0	0	0.053	0.360	0.900	0.892	0.992
SOX2	LIN28A	1850559	1844280	9606.ENSP00000323588	9606.ENSP00000254231	0	0	0	0	0.158	0.142	0.900	0.893	0.991
CD19	CD79B	1862074	1858043	9606.ENSP00000437940	9606.ENSP00000376544	0	0	0	0	0.657	0.285	0.900	0.655	0.990
GAD2	SLC32A1	1844680	1842664	9606.ENSP00000259271	9606.ENSP00000217420	0	0	0	0	0.270	0	0.900	0.874	0.990
GCG	INS	1859292	1844030	9606.ENSP00000387662	9606.ENSP00000250971	0	0	0	0	0.168	0.360	0	0.978	0.988
SSTR5	SST	1847454	1847077	9606.ENSP00000293897	9606.ENSP00000287641	0	0	0	0	0.053	0.360	0.900	0.823	0.987
SST	PPY	1847077	1843068	9606.ENSP00000287641	9606.ENSP00000225992	0	0	0	0	0.054	0	0.900	0.879	0.987
NTSR1	NTS	1855276	1844400	9606.ENSP00000359532	9606.ENSP00000256010	0	0	0	0	0	0.360	0.900	0.790	0.985
FZD9	WNT3A	1852976	1846912	9606.ENSP00000345785	9606.ENSP00000284523	0	0	0	0	0.051	0.515	0.900	0.712	0.984
UTS2R	UTS2	1850551	1842225	9606.ENSP00000323516	9606.ENSP00000054668	0	0	0	0	0.053	0.360	0.900	0.771	0.984
RGS21	GNAT3	1861744	1858594	9606.ENSP00000428343	9606.ENSP00000381339	0	0	0	0	0.053	0.449	0.900	0.697	0.982
GDF5	NOG	1856103	1851004	9606.ENSP00000363489	9606.ENSP00000328181	0	0	0	0	0.055	0.429	0.800	0.836	0.980
DBH	DDC	1858060	1853612	9606.ENSP00000376776	9606.ENSP00000350616	0	0	0	0	0.056	0	0.907	0.779	0.979
NR0B1	NR5A1	1856959	1855944	9606.ENSP00000368253	9606.ENSP00000362690	0	0	0	0	0	0.744	0	0.924	0.979
GRM3	ADCY8	1854350	1847008	9606.ENSP00000355316	9606.ENSP00000286355	0	0	0	0	0.053	0	0.900	0.788	0.978
CAMK2B	GRIN2A	1858327	1851485	9606.ENSP00000379098	9606.ENSP00000332549	0	0	0	0	0.104	0.401	0.900	0.624	0.977
DCC	UNC5D	1859404	1859019	9606.ENSP00000389140	9606.ENSP00000385143	0	0	0	0	0.066	0.292	0.900	0.675	0.975
ALDH1A2	CYP26A1	1843974	1842997	9606.ENSP00000249750	9606.ENSP00000224356	0	0	0	0	0.049	0.100	0.900	0.726	0.973
SST	GAL	1847077	1845782	9606.ENSP00000287641	9606.ENSP00000265643	0	0	0	0	0	0	0.900	0.740	0.972
LGI2	ADAM23	1857484	1845533	9606.ENSP00000371548	9606.ENSP00000264377	0	0	0	0	0.053	0.097	0.900	0.712	0.972
